trial,analysis,hsv_h_just,hsv_s_just,hsv_v_just,degrees_just,translate_just,scale_just,shear_just,perspective_just,flipud_just,fliplr_just,bgr_just,mosaic_just,mixup_just,cutmix_just,copy_paste_just,close_mosaic_just,hsv_h_value,hsv_s_value,hsv_v_value,degrees_value,translate_value,scale_value,shear_value,perspective_value,flipud_value,fliplr_value,bgr_value,mosaic_value,mixup_value,cutmix_value,copy_paste_value,close_mosaic_value
0,"Nadir orchard tiles are rotation- and flip-symmetric, so I enable the full flip set and substantial rotation (round peaches suffer minimal axis-aligned box distortion under rotation). The class-discriminative signal is the orange/yellow hue of peach fragments against green foliage, so I keep hue jitter tight while allowing generous saturation/brightness variation to model outdoor illumination changes. Because 52% of objects are already COCO-small and mosaic itself downsizes sources, I moderate scale-down zoom, keep mosaic at full strength (it densifies sparse scenes and mimics tile-edge truncation), and disable label-blending/warping augmentations (mixup, cutmix, shear, perspective, bgr) that corrupt tiny color cues or produce off-distribution geometry. This gives an interpretable, domain-grounded anchor whose individual knobs can be perturbed deliberately in later trials.","Hue is the primary cue separating orange/yellow peaches from green canopy; large hue shifts could turn peaches green or foliage orange, destroying the class signal. A small jitter near the default handles minor camera/white-balance variation without corrupting the discriminative channel.","Outdoor drone imagery varies in saturation with sun angle, haze, and exposure, and saturation jitter preserves hue ordering, so peaches stay 'orange-ish'. A moderately strong value near the default gives illumination robustness that a small dataset needs.","Brightness varies strongly across drone flights (shadows under canopy vs. sunlit ground) and value jitter is the most realistic photometric variation; occluded peaches in shadow are common, so I go slightly above default.","Nadir imagery has no canonical orientation, so rotation produces perfectly in-distribution images; peaches are round, so rotating them barely inflates their axis-aligned boxes. I use the maximum allowed range to exploit this true invariance, which combined with flips covers most of the rotation group.",Translation reproduces the tile-edge truncation already present in 21% of boxes and shifts sparse objects across the canvas; a modest value adds this realistic variation without pushing most single-peach tiles' only object out of frame.,"Half the peaches are already COCO-small (p5 = 12 px at training resolution), and mosaic further downsizes sources, so aggressive scale-down risks pushing objects below detectability; some zoom variation is still realistic (flight-altitude drift). I reduce below the 0.5 default to protect small-object recall.","Shear produces parallelogram distortions that never occur in nadir orthomosaic tiles and distorts the tight boxes of small round fruit; it is off-distribution, so I disable it.","Perspective warp models oblique viewing angles absent from straight-down 15 m captures; the warp also corrupts tiny bounding boxes disproportionately, so I disable it.",Vertical flips are exactly in-distribution for nadir imagery with no canonical up direction; a 0.5 probability doubles effective geometric diversity at zero label cost.,Horizontal flips are likewise a true invariance of the nadir scene; keep the standard 0.5 probability.,Channel swapping turns orange peaches blue — a categorical destruction of the single most discriminative cue in this task. Disable entirely.,"Mosaic is the strongest regularizer available for a 1,781-image dataset and a nano model: it densifies sparse scenes (median 1 instance/tile), diversifies context (canopy vs. ground peaches in one canvas), and its edge-cutting mimics the tiling truncation seen at validation. The downsizing cost to small objects is partially offset by the reduced scale setting and STAL's small-object assignment, so I keep it at full probability.","Alpha-blending two images washes out the faint color fragments that are the only evidence for occluded small peaches and creates ghost labels; harmful for tiny-object color-cue detection, so disable.","Pasted rectangles can cover or bisect tiny peaches, creating label noise disproportionate to any regularization gain in a sparse single-class scene; disable for the baseline.","With box-only labels, copy-paste has limited or no effect in Ultralytics and any box-level paste would carry rectangular background patches that create artifacts around tiny objects; disable.","Fine-tuning the final epochs on full-resolution, unfragmented tiles lets the model calibrate to the true validation object-size distribution after mosaic's downsizing pressure; the default 10 epochs gives a meaningful mosaic-free phase even if early stopping trims a few epochs.",0.015,0.6,0.5,45.0,0.15,0.3,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,10
1,"Only one completed trial exists (the domain-grounded anchor at 0.3679), so attribution data is scarce. The single biggest untested lever is mosaic: it densifies sparse scenes and mimics tile-edge truncation, but it also downsizes source tiles, pushing an already small-object distribution (52% COCO-small, p5=12px) toward the undetectable regime. This trial runs a clean single-variable probe: halve mosaic probability to 0.5 while holding every other knob identical to trial 0, so the score difference directly measures whether the shrinking cost of full-strength mosaic outweighs its regularization benefit for this nano model.","Hue carries the peach-vs-foliage discriminative signal, so it should stay tight; unchanged from trial 0 to isolate the mosaic change.",Moderate saturation jitter models outdoor illumination without destroying color cues; kept at trial 0's value for clean attribution.,"Brightness varies most naturally in drone imagery (sun angle, canopy shadow); kept at 0.5 as in trial 0.",Nadir imagery is rotation-symmetric and round peaches suffer minimal axis-aligned box distortion; keeping full 45° rotation from trial 0.,Translation mimics tile-edge truncation seen in 21% of boxes; unchanged at 0.15 to keep this trial a single-variable test.,Moderate zoom range (0.7–1.3x) avoids shrinking small peaches below detectability; unchanged from trial 0 so the mosaic effect is isolated.,Shear produces off-distribution geometric distortion never present in nadir orthomosaic tiles; kept disabled.,Perspective warp is off-distribution for nadir imagery and distorts small boxes; kept at 0.,Vertical flips are a true invariance of nadir imagery; kept at 0.5.,Horizontal flips are a true invariance of nadir imagery; kept at 0.5.,Channel swapping would turn the discriminative orange peach signal into a blue one — categorically wrong for a color-dependent class; kept off.,This is the probed variable: reduced from 1.0 to 0.5 to test whether full-strength mosaic's downsizing of already-small peaches (p5=12px at 640) costs more recall than its scene-densification and regularization gain. Half the batches still receive mosaic's benefits while half preserve full-resolution objects.,Blending images washes out the small colored fragments that constitute the only evidence for occluded peaches; kept off.,"Pasted regions can occlude or orphan tiny boxes, corrupting labels; kept off pending later probes.",Likely a no-op with box-only labels and risks pasting rectangular artifacts; kept off.,"Keeping the 10-epoch mosaic-free fine-tuning phase ensures the model ends on full-resolution, unfragmented tiles matching the validation distribution; unchanged from trial 0.",0.015,0.6,0.5,45.0,0.15,0.3,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,10
2,"Trial 1 (mosaic=0.5) scored marginally higher than trial 0 (mosaic=1.0), +0.003 — within noise but directionally consistent with the hypothesis that mosaic's source-downsizing hurts an already small-object-heavy distribution (52% COCO-small, p5=12px). With 27 trials remaining, I extend this single-variable probe by dropping mosaic further to 0.25 while holding all other knobs at the trial-0/1 values. If the trend continues, mosaic is a genuine cost driver here; if the score regresses, the optimum sits near 0.5 and I can bracket it. Clean attribution now buys confidence for coordinated changes later.","Hue is the peach-vs-foliage discriminative channel; both prior trials used the tight default 0.015 and scored well, so I keep it fixed for clean attribution.",Moderate saturation jitter models outdoor illumination without erasing the color cue; unchanged from trials 0-1 to isolate the mosaic probe.,"Brightness varies most naturally in drone imagery (sun angle, shadows); 0.5 worked in both prior trials and is held fixed.",Nadir imagery is rotation-symmetric and round peaches keep tight axis-aligned boxes under rotation; keeping the full 45-degree rotation used in both prior trials.,Modest translation mimics tile-edge truncation already present in 21% of boxes; unchanged to keep the probe clean.,"Scale-down risks pushing p5=12px objects below detectability, so the conservative 0.3 from prior trials is retained; scale will be probed in a later trial.",Shear produces off-distribution distortions never seen in nadir orthomosaic tiles; kept disabled.,Nadir tiles have no perspective variation; warping would only corrupt tiny boxes. Kept at zero.,Vertical flips are exactly in-distribution for nadir imagery; kept at 0.5 as in both prior trials.,Horizontal flips are likewise valid symmetries of the scene; kept at 0.5.,Channel swapping is a categorical color change that destroys the peach hue cue; kept disabled.,"This is the single variable under test: trial 1's halving to 0.5 nudged the score up, suggesting mosaic's downsizing cost may outweigh its densification benefit for these small objects. Dropping to 0.25 extends the trend probe.",Blending images washes out the small colored fragments that constitute the visible evidence for occluded peaches; kept disabled.,Pasted regions can sever tiny objects and create label noise disproportionate to their size; kept disabled.,"With only bounding-box labels, copy-paste has limited or no effect in Ultralytics; kept at zero.","Kept at 10 so the mosaic-free fine-tuning phase is identical across trials 0-2, ensuring the score difference is attributable to mosaic probability alone.",0.015,0.6,0.5,45.0,0.15,0.3,0.0,0.0,0.5,0.5,0.0,0.25,0.0,0.0,0.0,10
3,"The mosaic probe shows a consistent monotonic trend across three trials: mosaic 1.0 → 0.5 → 0.25 gave 0.3679 → 0.3708 → 0.3720. Each step is small individually, but the repeated directional consistency strengthens the hypothesis that mosaic's source-downsizing hurts this small-object-dominated distribution (52% COCO-small, p5=12px at training resolution) more than its densification/regularization helps. The logical next step is to complete the bracket at mosaic=0.0 while holding all other knobs fixed, giving clean attribution and locating the mosaic optimum (either at 0 or between 0 and 0.25) before moving on to photometric and geometric probes with the remaining budget.",Hue carries the peach-vs-foliage discriminative signal; tight jitter at the default has been in all trials and remains untested but low-risk. Keep fixed for clean mosaic attribution.,Moderate saturation jitter models outdoor illumination without destroying color cues; unchanged from the best configuration to isolate the mosaic variable.,"Brightness varies naturally in drone imagery (sun angle, canopy shadow); 0.5 has been present in all trials and is kept fixed.",Nadir imagery is rotation-symmetric and round peaches suffer minimal axis-aligned box distortion under rotation; keep full 45° rotation unchanged.,Mild translation mimics tile-edge truncation already present in 21% of boxes; unchanged from the best trial.,"Moderated scale range protects the p5≈12px objects from shrinking below detectability; kept at 0.3 to preserve single-variable attribution. Note that with mosaic removed this trial, scale becomes the sole size-perturbing augmentation, which is itself informative.",Shear produces off-distribution distortions of round objects never seen in nadir validation imagery; keep disabled.,Perspective warp is off-distribution for nadir tiles and distorts small boxes; keep disabled.,Nadir scenes have no canonical up; vertical flips are exactly in-distribution. Keep at 0.5.,Horizontal flips are equally valid under nadir symmetry; keep at 0.5.,Channel swapping is a categorical color corruption that would destroy the peach hue cue; keep disabled.,Three trials show monotonic improvement as mosaic drops (1.0→0.5→0.25 gave 0.3679→0.3708→0.3720). Completing the bracket at 0.0 tests whether the trend continues or whether a small residual mosaic probability is optimal; this is the cleanest remaining single-variable probe.,Blending images would dilute the tiny color fragments that constitute the visible evidence for occluded peaches; keep disabled.,Cutmix regions can fragment or occlude small objects and corrupt labels; keep disabled while mosaic is being isolated.,"With only bounding-box labels, copy-paste has limited or no effect in Ultralytics; keep disabled.",With mosaic=0.0 this parameter has no effect; keep at 10 for consistency with prior trials so it does not confound anything.,0.015,0.6,0.5,45.0,0.15,0.3,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,10
4,"The mosaic bracket is now complete: 1.0→0.3679, 0.5→0.3708, 0.25→0.3720, 0.0→0.3662, indicating an interior optimum near 0.25 and confirming that object-shrinking augmentation carries real cost for this small-object distribution, but that some mosaic densification/truncation-mimicry is still beneficial. I lock mosaic at 0.25 and run the next clean single-variable probe on the other main shrinkage lever: scale. If reducing scale jitter from 0.3 to 0.15 helps, it corroborates the shrinkage-cost hypothesis along a second axis; if it hurts, the scale optimum sits at or above 0.3 and I can bracket upward. All other knobs stay at the trial-2 best for attribution.","Hue is the class-discriminative channel separating peach fragments from green foliage; keeping the tight jitter used in all trials so far, untested but low-risk.",Moderate saturation jitter models outdoor illumination variation without destroying color cues; unchanged from the best configuration to preserve attribution.,"Brightness varies naturally in drone imagery (sun angle, shadows); keeping the value used in the current best config.",Nadir imagery is rotation-symmetric and round peaches suffer minimal box distortion under rotation; keep full 45° rotation from the best config.,Modest translation mimics tile-edge truncation already present in 21% of boxes; unchanged from the best config.,"The mosaic bracket showed that shrinking small objects (p5=12px at training res) is costly; scale-down zoom is the other main shrinkage source. Halving scale jitter from 0.3 to 0.15 tests whether the same shrinkage-cost mechanism applies here, as a clean single-variable probe.",Shear produces off-distribution distortions never seen in nadir orthomosaic tiles and distorts axis-aligned boxes of small round objects; keep disabled.,Nadir imagery has no perspective variation to model; warping would only corrupt small boxes. Keep at zero.,"Nadir scenes are vertically flip-symmetric; keeping 0.5 as a free, distribution-preserving augmentation.",Horizontal flip is equally valid for nadir imagery; keep at 0.5.,Channel swap is a categorical color change that would destroy the orange-vs-green discriminative cue; keep disabled.,The completed bracket (1.0/0.5/0.25/0.0 → 0.368/0.371/0.372/0.366) places the optimum near 0.25; fix at the best-known value while probing scale.,Blending images washes out the faint color fragments that are the only evidence for occluded peaches; keep disabled.,Pasted regions can occlude or fragment tiny objects and create label noise; keep disabled pending stronger evidence that more regularization is needed.,"With only box labels (no segmentation masks), copy-paste has limited or no effect; keep at zero.","With mosaic at only 0.25 probability, the final mosaic-free fine-tuning phase remains cheap insurance for full-resolution adaptation; unchanged from the best config.",0.015,0.6,0.5,45.0,0.15,0.15,0.0,0.0,0.5,0.5,0.0,0.25,0.0,0.0,0.0,10
5,"The mosaic bracket (1.0→0.3679, 0.5→0.3708, 0.25→0.3720, 0.0→0.3662) identified an interior optimum near 0.25, and trial 4 showed reducing scale from 0.3 to 0.15 hurt clearly (-0.009), the largest single-knob effect so far. This means the scale optimum sits at or above 0.3 — the shrinkage-cost hypothesis does not extend to modest scale jitter, likely because scale-up zooming actually enlarges small peaches. I complete the scale bracket upward with a clean single-variable probe at scale=0.5 (the Ultralytics default), holding all other knobs at the trial-2 best configuration for unambiguous attribution.","Peach-vs-foliage discrimination depends on hue; tight hue jitter has been in every trial including the best, so keep it fixed while the scale probe runs.","Unchanged from best config; saturation jitter of 0.6 models outdoor illumination variation without erasing the color cue, and photometrics have not yet been probed — keep constant for attribution.","Brightness varies naturally in drone imagery (shadows, sun angle); 0.5 has been constant across all trials and stays fixed.","Nadir imagery is rotation-symmetric and round peaches suffer minimal box distortion under rotation; 45° has been in every trial including the best, so keep it.",0.15 mimics tile-edge truncation (21% of boxes touch edges) and is part of the best config; unchanged.,"Trial 4 showed scale=0.15 clearly underperforms scale=0.3 (0.3631 vs 0.3720), so the optimum is at or above 0.3. Probing 0.5 completes the bracket upward; scale-up zooms enlarge small peaches, which may help the 52% COCO-small fraction.",Shear produces off-distribution distortions of nadir imagery and warps axis-aligned boxes on small round objects; remains disabled.,Nadir orthomosaic tiles have no perspective variation at test time; keep disabled to avoid off-distribution warps.,Vertical flips are exact invariances of nadir imagery; keep at 0.5 as in all trials.,Horizontal flips are exact invariances of nadir imagery; keep at 0.5.,"Channel swap is a categorical color change that would turn orange peaches blue-ish, destroying the discriminative cue; keep off.",The completed four-point bracket located an interior optimum near 0.25 (best score 0.3720); lock it here while probing scale.,Blending images washes out the small colored fragments that are the only evidence for occluded peaches; keep disabled.,Pasted regions can occlude or orphan tiny boxes; keep disabled pending evidence the current policy under-regularizes.,Likely inert with box-only labels and risks pasting context-inconsistent fragments; keep off.,With mosaic at only 0.25 the final mosaic-free fine-tuning phase remains cheap insurance; keep at 10 as in the best config.,0.015,0.6,0.5,45.0,0.15,0.5,0.0,0.0,0.5,0.5,0.0,0.25,0.0,0.0,0.0,10
6,"Six trials have cleanly bracketed the two shrinkage levers: mosaic peaks near 0.25 (0.0→0.3662, 0.25→0.3720, 0.5→0.3708, 1.0→0.3679) and scale is roughly flat between 0.3 and 0.5 (0.15→0.3631, 0.3→0.3720, 0.5→0.3715), so I lock mosaic=0.25 and scale=0.3. The largest untested knob is rotation: degrees=45 has been in every trial, but heavy rotation creates blank border regions and interpolation blur that erode the tiny color-fragment cues, while the flip set already provides 4-fold symmetry coverage. This trial runs a clean single-variable probe reducing degrees to 15, holding everything else at the trial-2 best, to test whether moderate rotation preserves the nadir-invariance benefit with less image corruption.","Hue carries the peach-vs-foliage discriminative signal, so jitter stays tight; unchanged from the best configuration and untested so far — will probe photometrics after geometry is settled.",Moderate saturation jitter models outdoor illumination without destroying color cues; kept at the trial-2 best value for clean attribution of the degrees change.,Generous brightness jitter matches natural sun/shadow variation in drone imagery; unchanged from the best configuration.,"All prior trials used 45°, which maximizes blank-border area and interpolation blur on already-tiny objects; flips already give 4-fold symmetry, so moderate 15° rotation may retain rotational invariance benefits with less pixel corruption. This is the single variable changed this trial.",0.15 mimics the tile-edge truncation present in 21% of boxes without excessive blank canvas; unchanged pending a later probe.,"The bracket 0.15→0.3631, 0.3→0.3720, 0.5→0.3715 shows the optimum at or near 0.3; I keep the best-known value.",Shear produces off-distribution distortions of round fruit and inflates axis-aligned boxes; keep disabled as in all trials.,"Nadir imagery has no perspective variation to model, and warps corrupt small boxes; keep at 0.",Vertical flips are exact invariances of nadir imagery and cost nothing; keep at 0.5.,Horizontal flips are likewise valid invariances; keep at 0.5.,Channel swap is a categorical color change that would destroy the orange-vs-green cue detection depends on; keep disabled.,The completed bracket identified an interior optimum at 0.25 — enough densification and truncation-mimicry without excessive source downsizing of small objects; keep at the best-known value.,Blending images washes out the small colored fragments that constitute the only evidence for occluded peaches; keep disabled.,Kept off this trial to isolate the degrees probe; a cutmix probe (densification without shrinking) is a candidate for a later trial.,Likely a no-op with box-only labels and risks label artifacts otherwise; keep disabled.,"With mosaic at only 0.25, the final clean-image fine-tuning phase remains beneficial and low-risk; keep at 10.",0.015,0.6,0.5,15.0,0.15,0.3,0.0,0.0,0.5,0.5,0.0,0.25,0.0,0.0,0.0,10
7,"Trial 6's reduction of rotation from 45° to 15° produced the best score so far (0.3732 vs 0.3720), consistent with the hypothesis that heavy rotation's border-fill and interpolation blur corrupt tiny color-fragment cues more than the extra invariance helps — the flip set already covers 4-fold symmetry. With 22 trials remaining, I complete the degrees bracket with a clean single-variable probe at degrees=0, holding everything else at the trial-6 best. This locates the rotation optimum (0, ~15, or interior) before I move to the untested photometric knobs (hsv_s, hsv_v, hsv_h) and translate in subsequent trials.","Hue is the primary peach-vs-foliage discriminative cue; kept at the tight 0.015 used in all trials so far, to be probed later in isolation.",Unchanged from the best configuration (0.6) to preserve clean attribution for the degrees probe; saturation jitter models outdoor lighting without destroying color identity.,Unchanged at 0.5 — brightness variation is the dominant natural variation in drone imagery and this value has been present in every trial including the best.,"Completing the rotation bracket: 45°→0.3720, 15°→0.3732 suggests less rotation is better. Testing 0° determines whether flips alone suffice for nadir symmetry or whether some rotation (interior optimum near 15°) is still beneficial.",Kept at 0.15 from the best config; translation mimics the tile-edge truncation seen in 21% of boxes and has not yet been probed — held fixed for attribution.,The scale bracket showed 0.3 and 0.5 are statistically indistinguishable (0.3720 vs 0.3715) while 0.15 clearly hurt; keeping 0.3 from the best configuration.,Shear produces off-distribution geometric distortion for nadir imagery of round objects and distorts axis-aligned boxes; kept disabled as in all trials.,Perspective warp is unrealistic for fixed-altitude nadir capture and corrupts small-object boxes; kept at 0.,"Nadir imagery is exactly symmetric under vertical flip; 0.5 is a free, label-preserving invariance used in every trial.",Same reasoning as flipud — a true invariance of the data; kept at 0.5.,"Channel swapping is a categorical color change that would turn orange peaches blue-ish, destroying the class-defining hue cue; kept at 0.","The completed mosaic bracket identified an interior optimum near 0.25 (0.0→0.3662, 0.25→0.3720, 0.5→0.3708, 1.0→0.3679); locked at 0.25.",Blending images washes out the small color fragments that constitute the entire visible evidence for occluded peaches; kept disabled.,"Pasted regions can sever or fabricate tiny peach boxes, corrupting labels for objects with p5≈12px; kept disabled.",Likely a no-op or crude box-paste without segmentation labels; kept at 0 to avoid uncontrolled label noise.,"With mosaic at only 0.25, the final mosaic-free fine-tuning window remains useful for adapting to unfragmented full-resolution tiles; kept at the default 10 used in all trials.",0.015,0.6,0.5,0.0,0.15,0.3,0.0,0.0,0.5,0.5,0.0,0.25,0.0,0.0,0.0,10
8,"The degrees bracket is complete: 45→0.3679/0.3720, 15→0.3732, 0→0.3782 — a monotonic, repeated trend showing rotation only costs on this data (flips already cover the symmetry, and rotation's border-fill/blur corrupts tiny color fragments). I lock degrees=0 with the trial-7 best config (mosaic=0.25, scale=0.3) and move to the untested photometric axis. Since detection depends on small color/texture fragments distinguishing peaches from foliage, strong saturation jitter (currently 0.6) may erode the discriminative color signal; this trial runs a clean single-variable probe lowering hsv_s to 0.3 to bracket the saturation optimum before probing hsv_v and translate in later trials.","Hue is the primary class-discriminative channel (orange peach vs. green foliage), so jitter stays tight; unchanged from the best config to keep attribution clean.","This trial's single probe: saturation jitter of 0.6 may wash out or oversaturate the small color fragments that identify occluded peaches. Halving to 0.3 tests whether reduced photometric corruption helps, bracketing the saturation optimum.",Brightness variation is natural in outdoor drone imagery and untested so far; held at 0.5 from the best config so the hsv_s change is cleanly attributable.,The completed bracket (45→15→0 gave 0.3720→0.3732→0.3782) shows rotation is purely costly here; locked at 0.,Translation mimics tile-edge truncation (21% of boxes touch edges) and 0.15 has been in every trial including the best; unchanged pending its own probe later.,"Scale bracket showed 0.15 hurts, 0.3 and 0.5 are roughly equal; keep 0.3 from the best config.",Shear produces off-distribution geometric distortion of round objects with no nadir-imagery justification; kept disabled.,Nadir imagery has essentially no perspective variation; warping would only distort tiny boxes. Kept at 0.,Vertical flips are exact invariances of nadir imagery and have been in every trial including the best; kept at 0.5.,Horizontal flips are likewise valid invariances; kept at 0.5.,Channel swap is a categorical color corruption that would destroy the peach hue cue; kept disabled.,"Complete bracket (0→0.3662, 0.25→0.3720, 0.5→0.3708, 1.0→0.3679) identified an interior optimum near 0.25; locked there.",Image blending destroys the faint color fragments of occluded small peaches; kept disabled.,Region pasting can fragment or occlude tiny objects and corrupt labels; kept disabled.,With only bounding-box labels copy-paste is limited or inert and would paste rectangular context patches; kept disabled.,"With mosaic at only 0.25, the final mosaic-free fine-tuning window at 10 epochs remains cheap and matches all prior trials; unchanged for attribution.",0.015,0.3,0.5,0.0,0.15,0.3,0.0,0.0,0.5,0.5,0.0,0.25,0.0,0.0,0.0,10
9,"Trial 8's saturation probe (hsv_s 0.6→0.3) regressed from 0.3782 to 0.3750, indicating the saturation optimum sits at or above 0.6 — stronger saturation jitter appears to help rather than erode the peach color cue, plausibly because saturation robustness matters under varying outdoor illumination while hue remains the tightly-preserved discriminative channel. I complete the hsv_s bracket upward with a clean single-variable probe at 0.85, holding all other knobs at the trial-7 best (degrees=0, mosaic=0.25, scale=0.3). This locates the saturation optimum (near 0.6 vs. higher) before I probe hsv_v, translate, and close_mosaic in subsequent trials with the ample remaining budget.",Hue is the primary peach-vs-foliage discriminative channel and 0.015 has been in every trial including the best; keeping it tight and fixed preserves attribution for the hsv_s probe.,"The bracket so far shows 0.3→0.3750 and 0.6→0.3782, so the optimum is at or above 0.6; probing 0.85 (near the range top) tests whether aggressive saturation jitter continues to help as illumination-robustness regularization.","Untested so far but present in every trial at 0.5; held fixed for clean attribution of the hsv_s change, to be bracketed in a later trial.","The completed rotation bracket (45→0.368/0.372, 15→0.373, 0→0.378) shows a monotonic trend favoring no rotation — flips already cover nadir symmetry and rotation border-fill corrupts tiny fragments. Keep at 0.",0.15 has been in every trial including the best; it mimics tile-edge truncation modestly. Held fixed for attribution; will probe later.,"Scale bracket showed 0.15 clearly hurts, 0.3 and 0.5 roughly tied with 0.3 marginally ahead; keep at 0.3 from the best config.",Shear produces off-distribution distortions of axis-aligned boxes on round objects in nadir imagery; kept disabled as in all trials.,Nadir imagery has no perspective variation to model; warping corrupts small boxes. Kept at 0.,Nadir imagery is vertically flip-symmetric; 0.5 provides free invariance and has been in every trial including the best.,Horizontal flip is a true invariance of nadir imagery; kept at 0.5 as in all trials.,Channel swap is a categorical color corruption that would destroy the peach-vs-foliage hue signal; kept at 0.,"The completed bracket (0→0.3662, 0.25→0.3720, 0.5→0.3708, 1.0→0.3679) identified an interior optimum near 0.25; kept locked there.",Blending images washes out the tiny color fragments that carry the detection signal; kept disabled.,Pasted regions can occlude or truncate tiny peaches with mislabeled extents; kept disabled.,Likely inert or harmful with box-only labels (rectangular pastes bring background); kept at 0.,"With mosaic at only 0.25 the mosaic-free fine-tuning window matters less, but 10 has been in every trial including the best; held fixed for attribution.",0.015,0.85,0.5,0.0,0.15,0.3,0.0,0.0,0.5,0.5,0.0,0.25,0.0,0.0,0.0,10
